"FID" "IID" "SOL" "C1" "C2" "C3" "C4" "HYPER" "SEX" "NALT" "NMIN" "NHET" "NVAR" "RATE" "SING" "TITV" "PASS" "PASS_S" "QUAL" "DP" "REF.dbsnp" "G.DP" "NRG.DP"
"46" "AT0392" "." 0 0.146417 0.010445 0.132617 -0.0509528 1 2 81 61 43 830 0.963995 0 1.77273 54 0 899540 53727.7 0.95082 57.0477 122.642
"47" "AT0393" "." 0 -0.0525573 0.125445 0.109674 -0.0328944 1 2 87 52 41 836 0.970964 4 1.31818 38 1 616178 48519.5 0.884615 52.1397 99.4138
"48" "AT0394" "." 0 0.0712976 -0.0313547 -0.048985 -0.0604065 1 2 91 57 53 825 0.958188 3 2 48 0 677610 48595.1 0.877193 37.8 57.8462
"49" "AT0395" "." 0 -0.10131 -0.142179 -0.0440508 0.0788413 2 2 73 38 24 831 0.965157 0 2.16667 30 0 676265 49917 0.789474 43 80.863
"50" "AT0399" "." 0 -0.0374054 -0.00783155 -0.0980626 -0.0768229 2 2 83 53 44 855 0.993031 0 1.52381 32 0 562281 46295.5 0.849057 41.9012 72.8795
"51" "AT0403" "." 0 0.156644 -0.0255761 0.198575 0.0943572 1 2 96 67 47 849 0.986063 0 2.35 47 0 632232 47171.5 0.820896 41.824 70.3646
"52" "AT0407" "." 0 -0.137465 -0.110916 -0.00186034 -0.0274581 1 1 81 50 43 835 0.969803 0 1.63158 40 0 702993 50608.8 0.9 48.8789 97.4198
"53" "AT0408" "." 0 -0.152294 -0.0743726 0.0825892 0.146133 2 1 79 44 41 839 0.974448 0 2.14286 40 0 760810 50813.5 0.954545 43.6737 78
"54" "AT0410" "." 0 -0.223884 0.0170276 0.0759492 -0.0424218 1 2 73 36 32 837 0.972125 0 1.76923 31 0 702021 51616.4 0.916667 34.7713 49.9589
"55" "AT0412" "." 0 0.0217798 -0.0177261 0.0512704 -0.0242474 2 1 87 63 63 833 0.96748 0 1.73913 56 0 893465 53613.8 0.952381 45.5274 84.6897
"56" "AT0421" "." 0 -0.0729186 0.0428029 0.13909 -0.0610628 2 1 75 45 32 831 0.965157 0 1.5 32 0 652281 50281.7 0.866667 47.7512 89.92
"57" "AT0422" "." 0 -0.0884777 -0.160524 -0.109234 -0.0885868 1 1 78 45 34 854 0.99187 0 1.5 35 0 550284 43290.8 0.888889 39.7751 66.0513
"58" "AT0426" "." 0 0.185731 0.000163486 -0.0492225 0.0342893 2 1 90 60 46 837 0.972125 1 2 50 0 685408 49101.5 0.883333 47.7381 90.6222
"59" "AT0429" "." 0 -0.0203673 -0.0640901 -0.0806186 -0.058647 2 2 86 56 56 834 0.968641 1 1.94737 46 0 742717 50813.4 0.928571 47.1735 90.5698
"60" "AT0430" "." 0 -0.00669298 -0.0650522 0.159065 -0.0275288 1 2 91 56 55 834 0.968641 0 1.66667 48 0 802106 53502.9 0.875 44.5904 75.7912
"61" "AT0433" "." 0 -0.1937 -0.0806797 0.123628 -0.0049638 1 2 80 48 41 839 0.974448 0 2.42857 40 0 647332 45698.9 0.9375 57.7634 128.7
"62" "AT0447" "." 0 0.0785344 -0.0781825 -0.0730849 0.0522838 1 2 84 47 45 831 0.965157 0 2.13333 41 0 719176 50081.6 0.93617 41.9347 70.3452
"63" "AT0448" "." 0 -0.0821834 -0.211341 -0.0239489 0.0738337 2 2 77 39 30 837 0.972125 0 2.9 29 0 485971 42513.4 0.769231 41.5215 72.1948
"64" "AT0456" "." 0 0.0780196 -0.0782207 -0.0714131 0.0497882 1 1 84 52 48 834 0.968641 0 2.05882 44 0 700363 49125.7 0.884615 41.5484 73.8929
"65" "AT0462" "." 0 0.0969659 -0.074053 -0.0671768 0.0480244 1 2 94 57 50 836 0.970964 0 1.66667 50 0 626477 47748.8 0.947368 55.3848 111.521
"66" "AT0465" "." 0 -0.148786 0.0809942 -0.146626 0.160487 1 2 78 44 30 837 0.972125 2 2.14286 37 0 715874 48328.3 0.954545 48.2797 93.4872
"67" "AT0466" "." 0 0.09728 0.217362 0.00872212 0.138322 2 1 68 49 22 830 0.963995 0 2.5 44 0 972177 56699.5 0.979592 42.0012 80.4412
"68" "AT0478" "." 0 -0.154592 -0.0223758 -0.0294371 -0.0891907 2 1 54 15 7 833 0.96748 0 1.14286 12 0 478343 45764.3 0.866667 41.4779 78.9259
"69" "AT0479" "." 0 0.198628 -0.0261395 -0.0567657 -0.145859 1 1 86 58 35 839 0.974448 1 1.7619 49 0 657848 48466.7 0.931034 46.4552 89.4651
"70" "AT0483" "." 0 0.0712486 -0.04608 0.209611 -0.0828643 1 1 89 59 41 855 0.993031 2 2.27778 43 0 631850 45374.7 0.898305 46.3364 79.5169
"71" "AT0485" "." 0 -0.232623 0.0995897 0.0550058 -0.0279458 1 1 73 40 30 845 0.981417 0 1.85714 24 0 681397 46183.3 0.825 36.965 63.4658
"72" "AT0487" "." 0 0.160345 0.0682097 -0.0246898 -0.153824 2 1 72 39 22 834 0.968641 0 1.29412 33 0 801257 55441.5 0.897436 38.5611 63.375
"73" "AT0489" "." 0 0.0560353 0.210658 0.168907 -0.0748614 1 1 68 36 11 841 0.976771 0 2 31 0 957139 56700.3 0.972222 43.5704 83.8235
"74" "AT0490" "." 0 -0.145154 0.0676294 -0.149375 -0.0847179 1 1 70 36 25 847 0.98374 0 1.25 25 0 577918 42228.2 0.916667 41.0268 68.5714
"75" "AT0493" "." 0 0.0491205 0.0632649 0.0688527 -0.0811972 1 2 79 57 41 854 0.99187 0 1.71429 44 0 737190 51737.2 0.947368 51.4959 110.684
"76" "AT0495" "." 0 -0.145881 0.033542 -0.0588783 0.104109 1 2 69 38 35 829 0.962834 1 1.71429 34 1 922817 54614 0.868421 39.9615 70.942
"77" "AT0498" "." 0 -0.217742 0.081396 0.0530359 -0.0241363 2 1 61 27 18 825 0.958188 0 2 24 0 899987 58733.9 1 37.1723 65.2951
"78" "AT0501" "." 0 -0.192634 0.0680924 -0.0390488 -0.0381311 1 1 87 57 44 852 0.989547 1 1.11111 37 0 567144 45694.5 0.807018 45.9417 84.5057
"79" "AT0507" "." 0 -0.172907 0.0747383 -0.0725564 0.116006 1 1 84 51 39 831 0.965157 0 1.42857 42 0 672317 49765.5 0.901961 49.5925 97.881
"80" "AT0508" "." 0 0.233779 -0.117877 0.11594 0.086203 1 1 89 68 37 852 0.989547 0 1.83333 50 0 696459 49719.7 0.823529 43.1653 71.0449
"81" "AT0513" "." 0 -0.00802469 -0.171214 -0.00763308 0.0750876 1 2 78 40 27 828 0.961672 0 2.07692 32 0 621879 49230.7 0.925 42.9849 78.8077
"82" "AT0514" "." 0 0.0263374 -0.123203 -0.145393 0.0509493 2 1 77 47 38 834 0.968641 0 2.35714 38 0 629029 50189.5 0.893617 43.2194 82.3766
"83" "AT0515" "." 0 0.0239234 0.0548078 -0.0673549 -0.089845 1 2 81 50 44 831 0.965157 0 1.33333 39 0 676712 48156.8 0.8 50.0175 97.7284
"84" "AT0519" "." 0 -0.0535897 0.102318 0.126488 -0.0374477 1 2 66 49 36 850 0.987224 0 1.57895 41 0 833196 51614.6 0.959184 42.6014 82.3636
"85" "AT0520" "." 0 -0.193016 -0.0281304 -0.0196675 -0.0601433 2 1 62 34 27 827 0.960511 0 1 28 0 878111 54501.5 0.911765 36.1352 59.5806
"86" "AT0521" "." 0 0.0157656 -0.0643117 0.135245 0.105318 2 2 82 50 45 827 0.960511 0 2.125 45 0 821233 55170.4 0.96 41.0642 74.5488
"87" "AT0526" "." 0 -0.0773771 -0.0989123 -0.156771 -0.0728897 1 2 75 46 36 853 0.990708 0 2.06667 33 0 689100 44393.1 0.891304 40.4086 68.8933
"88" "AT0532" "." 0 0.0123251 0.0871408 -0.0103075 0.0432655 1 1 80 43 37 835 0.969803 0 1.86667 35 0 713934 50050.7 0.883721 48.8308 89.75
"89" "AT0536" "." 0 -0.0137079 -0.0228412 0.144477 -0.0281927 2 2 91 59 56 831 0.965157 0 2.27778 51 0 711029 50618.9 0.932203 42.7121 76.5165
"90" "AT0542" "." 0 0.036798 -0.0415166 -0.048983 -0.074877 2 1 87 52 52 827 0.960511 0 1.6 43 0 738781 52592.8 0.884615 41.8411 72.7816
"91" "AT0546" "." 0 -0.229825 0.0829421 0.0593903 -0.0262494 1 2 79 50 39 847 0.98374 0 1.63158 33 0 597976 47593.6 0.82 46.6713 86.8861
"92" "AT0548" "." 0 -0.0225036 0.0369508 0.0175979 -0.103235 1 2 76 42 32 830 0.963995 1 2 34 0 575175 44613.4 0.952381 45.7278 86.6579
